Indice,CODIGO,NOMBRE,CANTIDAD,COSTO-UNIT,VALOR-IVA,PRECIO-UNIT,TOTALES
312,"7,79029E+12",CARPANO ROSSO,4.0,2479.34,520.66,3000.0,12000.0
300,1570,Campari x 1L,4.0,2892.56,607.44,3500.0,14000.0
563,41333045412,DURACELL AAA X2,4.0,1652.89,347.11,2000.0,8000.0
1302,"7,79173E+12",SANTA JULIA chenin 355ml,4.0,2479.34,520.66,3000.0,12000.0
1456,"7,79004E+12",TORTITAS BLACK,4.0,826.45,173.55,1000.0,4000.0
631,"7,79021E+12",FORT chocolate con mani 30g,4.0,1239.67,260.33,1500.0,6000.0
615,"7,89802E+12",FERRERO ROCHER X 12,4.0,8264.46,1735.54,10000.0,40000.0
284,"7,79058E+12",CAJA DE BOMOBNES EN CASA,4.0,4958.68,1041.32,6000.0,24000.0
974,"7,79058E+12",MOGUL CONITOS yogus 500g,4.0,1074.38,225.62,1300.0,5200.0
283,"7,6222E+12",CADBURY TRES SUEï¿½OS 82Gs,4.0,991.74,208.26,1200.0,4800.0
1270,77977144,ROTHMANS XL RED BOX 20,4.0,1694.21,355.79,2050.0,8200.0
1459,1773,TRAGO CAMPARI X 800 ML,4.0,3719.01,780.99,4500.0,18000.0
1461,T800,TRAGO FERNET X 800 ML,4.0,3719.01,780.99,4500.0,18000.0
328,"7,7909E+12",CEPITA NARANJA 300ML,4.0,743.8,156.2,900.0,3600.0
1100,"7,79181E+12",PASO DE LOS TOROS X 500ML,3.0,1239.67,260.33,1500.0,4500.0
1169,"7,7909E+12",POWER MOUNTATIN BLAST 995ML,3.0,1570.25,329.75,1900.0,5700.0
1176,"7,7909E+12",POWERADE NARANJA 500ml,3.0,495.87,104.13,600.0,1800.0
1081,"7,79334E+12",Panuelo Elegante 100,3.0,330.58,69.42,400.0,1200.0
1224,"6,57769E+11",PUFF MAMMA tabaco mint,3.0,1404.96,295.04,1700.0,5100.0
1202,"6,57769E+11",Puff banana,3.0,3305.79,694.21,4000.0,12000.0
1062,"7,79241E+12",Orloff Vodka Blanco,3.0,2892.56,607.44,3500.0,10500.0
1209,"6,57769E+11",PUFF MAMMA FIX lemon,3.0,1404.96,295.04,1700.0,5100.0
1117,"7,79813E+12",PATTANO MALBEC,3.0,2314.05,485.95,2800.0,8400.0
1120,"7,79004E+12",Pepas Membrillo 183g,3.0,413.22,86.78,500.0,1500.0
1118,"7,79031E+12",PEHUAMAR MANI JAPONES,3.0,289.26,60.74,350.0,1050.0
1072,"7,79031E+12",PALITOS PEP PANCETA 120Gs,3.0,578.51,121.49,700.0,2100.0
1174,"7,7909E+12",Powerade Manzana 500ml,3.0,1239.67,260.33,1500.0,4500.0
1213,"6,57769E+11",PUFF MAMMA mango,3.0,1404.96,295.04,1700.0,5100.0
596,"7,7909E+12","FANTA MANZANA X 2,25",3.0,1652.89,347.11,2000.0,6000.0
